filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro
goa_nonexp_predictions.tsv	biological_process	0.010	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.020	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.030	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.040	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.050	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.060	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.070	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.080	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.090	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.100	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.110	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.120	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.130	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.140	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.150	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.160	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.170	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.180	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.190	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.200	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.210	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.220	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.230	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.240	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.250	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.260	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.270	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.280	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.290	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.300	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
goa_nonexp_predictions.tsv	biological_process	0.310	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373
